start,MB,SO,SB,SS,CM,DC,BP,GP,24,16,CC,PL,MT,EM,AS,BK,NB,EP,EN,RM,OW,12,19,MA,RR,OR,LF,WC,PH,CN,NC,WP,LM,FV,CL,OA,SL,BF,CV,WD,ED,HY,SH,UC,FM,WS
FV,625.546619513,1604.29563187,620.728904772,341.544683844,285.923919978,2140.5402117,1832.96701239,1585.36373543,5471.41593856,6715.6809182,16054.5527945,20137.1239021,18751.4482798,20891.8430181,2481.60027292,7015.41291816,1651.52406758,1342.82268121,3046.27508841,2242.76950578,2373.37541631,4377.68576827,3657.50245773,3824.24774733,1262.51543087,417.214672551,377.124403895,905.467409135,575.700218431,990.538420161,208.301267497,1552.19071642,5289.56724965,789.380109364,7838.96430255,279.863096476,5611.45250676,6681.95295601,1621.5723756,1973.19052077,3391.39670966,4825.82779429,2109.68929191,1943.31254272,3760.63244178,952.532281791
CL,854.958478707,1153.34106462,768.428940434,570.008758061,387.075901711,3267.50674017,1682.9887327,2006.5197252,3450.18239918,3978.87796913,8451.60552121,14294.3393944,11062.4328296,14663.6153145,2147.58022923,4501.80523493,1735.8379298,1857.49028995,4309.42887852,1940.78147295,2567.2119008,6183.76696237,4206.29550507,4260.63981842,1446.57999842,1084.81555668,1277.81362051,2145.95738903,1875.51481966,1961.85799974,926.898363498,3128.83295888,6702.37362626,8251.82880373,758.015409571,1699.70459994,6826.5734217,7237.95114664,2899.76359674,4244.23221393,10424.8405703,5177.27672789,2843.22189466,3898.90241018,6805.71606932,3328.29746154
OA,223.314165354,690.152303189,130.144631837,93.3254737635,84.8542844265,498.166147087,310.403710858,555.399131723,836.959058219,809.980456081,1946.6469583,4097.81497865,2703.80649004,4160.51021873,865.135102579,3011.48247546,1192.91492714,922.015823155,1154.46959989,367.709127562,291.361342586,1251.81287012,918.364451643,1004.78397278,704.193882929,455.445183116,703.738732701,1394.34453773,1380.63060269,986.471505344,353.915403132,1056.82774723,798.768816805,571.279672501,1882.21102212,251.314626982,331.09021863,251.655843165,314.253185335,1062.37775466,2426.35764857,411.762828514,198.172857539,531.825589666,946.7249314,281.742694186
SL,259.592040378,1082.51241642,290.764011808,275.879960276,206.224499985,1660.48425758,1196.80491248,846.556539075,2154.98064133,3060.14843532,8540.34582454,12842.8197282,14059.6053117,16313.5916605,1107.47380011,3972.58930082,780.790246862,690.099633471,1297.12843472,802.418185781,982.815722607,5611.41453089,3941.77899442,2333.59644071,518.696664586,134.846340159,153.731224306,534.74890388,421.21314997,584.726961673,173.171734177,874.840940791,6464.62555153,5575.91399497,6667.81314204,206.902514191,598.600268458,3538.22360546,1135.04722973,1499.39431286,2020.54515538,3837.53489455,1482.23780499,1747.33576827,2888.28037832,643.067115912
BF,240.661738338,747.316913331,426.867104025,232.061384192,217.321247288,1364.76292758,947.949988608,709.726191467,1803.03836221,2547.85520818,7640.04914757,12362.5332214,13014.8870041,15417.0236862,878.413476379,3303.45455883,501.795659604,468.484269468,1198.29818568,637.656703518,857.377917125,5537.77888496,3411.80997652,2044.36236441,330.16245406,85.0230843908,102.154109087,317.41832942,268.068528039,526.473678267,96.1043671432,718.678165275,5881.3316577,6682.49721141,7210.02740547,165.348626507,3509.3086382,522.297192091,1763.37750949,2889.81972273,3479.84279374,3406.16194439,1901.66212716,2441.5568006,4660.15622208,679.222923911
CV,111.418324467,486.457004666,121.463215846,82.3897322357,73.7530218828,602.008280583,401.714220333,384.21790494,744.810160282,1372.23107175,4841.83573311,6555.90799182,9042.0038124,11301.8323487,214.667040625,1182.80855697,159.746985547,132.578922108,222.01860828,141.546938988,336.85283317,1566.05531566,1082.00979871,481.004813912,137.639210675,65.5878619474,34.3321168534,111.074349411,98.5376053771,143.341475725,41.4926570379,134.392103282,2867.10008222,1706.53195736,2967.41982377,207.913707688,1069.44146235,1633.27429394,297.284326429,2628.7277507,2487.28936422,603.125735782,327.188439478,396.208212725,795.855541026,156.00781103
WD,164.570368114,951.849329351,122.608508921,136.290237947,97.1640256768,834.131392216,404.082187683,435.868779657,838.769470118,1362.24137419,5134.43357455,7351.09579532,10645.270486,16084.9675647,204.75031254,1251.82141421,192.380265882,203.963723043,256.717558719,106.717698891,271.5234108,1557.31989608,1356.33764797,442.617093623,123.471917442,24.530717109,26.5958993333,58.9503714821,54.4945203919,112.699282297,16.6062463471,171.870300752,1840.82057169,1903.46596531,4166.06218362,711.897068264,1447.32287785,2650.98812496,2397.72000753,503.790708491,1409.3352477,1067.7855964,595.570532061,560.814578442,928.114733969,165.952866851
ED,456.976089928,3218.40437556,302.853146701,418.720116992,309.976027519,2123.20383369,1335.07477389,1312.03496835,2116.32968538,3661.35234876,13179.2952336,19460.0517475,27129.0962877,42914.3087095,484.279852794,3071.41548288,403.921966477,343.81092504,574.393743747,309.966068333,629.272193329,3219.78510951,3197.0362195,1119.16086164,302.840609924,61.0553082311,68.3377019624,179.093847266,157.098149524,240.141099785,46.1468349728,262.956738685,4131.01463937,3301.51050997,11019.8666097,1656.42188178,2075.20432851,3364.71024151,2486.49110375,1339.93220056,1396.57564365,1366.3973392,721.236546901,1264.15057555,2307.61723231,410.752979781
HY,178.980432801,513.300122341,275.861882473,167.763095486,112.74080359,938.697545742,631.553723736,474.680541274,1235.83616551,1645.5681942,5147.01759537,7240.74175013,8698.06890794,10740.4533924,837.700361081,3049.16009143,584.853062498,569.508893281,1421.86775882,672.115972243,665.665641376,4619.49354364,3374.67202889,1943.67888001,368.650392285,95.5649419993,118.443223177,449.870268061,386.155980366,584.730192576,160.729024141,988.943792287,3093.59839619,4641.56003695,4991.69234202,280.185567674,3648.5326082,3259.52131267,591.78897887,1182.99635254,1295.91859441,582.908853161,2099.25732909,3947.82701219,6373.11685687,954.883566624
SH,111.118338336,354.936205633,191.30517004,140.810487682,92.1154823818,738.564292153,436.260277175,300.522717862,956.917775664,1360.68069928,3616.10894281,4846.98239621,6273.24221027,7988.73197123,487.540872933,1637.11612381,241.449272886,213.258120103,558.544905743,437.794987469,298.531549724,2692.28213815,2314.1913514,973.900862829,164.246980098,40.2480777041,33.4836300237,247.324293936,138.113208912,228.470223484,51.7168890606,418.657133446,1657.38294352,2167.96983368,2964.52301752,141.188868416,1582.4447418,1904.94386064,378.12410027,626.127534251,704.631485829,2417.13631064,288.22661347,1684.68687034,3365.6201368,535.770845592
UC,113.909852695,533.939711928,144.823352849,121.081483848,111.085561235,962.926182551,489.26407818,315.281157439,864.880952381,1433.21540313,5400.32961604,7489.74289429,12397.6242033,17057.0973006,691.247890972,3318.78368451,426.918794516,352.615854359,775.855453357,384.792222651,250.900450732,3279.26390829,3112.62148107,1364.95101043,261.16014047,89.8578947368,78.4444015176,282.882499728,274.814148018,318.223502432,84.045601157,491.09980782,2308.86606833,1810.85107779,3985.28415802,404.227218243,1727.10754208,2432.67096348,357.541319702,575.30543404,1283.71212567,3930.35297929,1605.94065797,652.337702458,3789.54935857,584.80348995
FM,170.466526989,920.681970737,176.879985537,154.174390522,144.661526346,1278.50598829,697.318036693,624.914762202,1181.50801361,2290.60727808,8239.82002982,12029.9170312,19771.2504656,29163.0533334,1071.15846979,6557.97436229,938.956115585,988.947519986,1602.22939018,759.915360536,440.423092316,4922.6598834,5033.54605833,2156.9582256,622.598676533,246.514075208,228.884814308,586.245707649,598.174301366,730.440560888,187.547144046,939.045653165,3229.55578175,3598.21082499,6976.54185711,699.215337256,2799.48984616,4571.71183839,813.012920642,976.787555846,2313.05913301,6416.16593509,3273.10881056,3879.38175775,1354.23094495,712.220938215
WS,20.9212433257,225.37553964,28.2899204533,39.2018796992,24.1734682556,331.70006439,184.549255055,192.822282485,418.448612638,816.913324319,3001.08725173,3769.82277235,6737.08934441,8694.23674899,375.945994928,2543.46848643,315.684643922,254.104727728,364.941801638,162.634344755,157.344111266,1071.69941851,1304.5958815,519.398987092,219.466493804,59.5517073316,60.0891022021,138.627536727,157.008189446,181.2665364,55.8655229972,287.495385202,1173.74783401,962.640099755,3464.52558967,191.140577729,667.217211507,698.17088175,175.896190575,160.003876787,402.726160758,972.486440905,548.933325904,634.56925763,829.025208773,417.924158717
