name,year,month,weekday,num_riders,id,abbr,gtfs_latitude,gtfs_longitude,address,city,county,state,zipcode
Richmond,1998,6,Wednesday,2920.25,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,7,Friday,2371.8,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,7,Monday,2725.0,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,7,Saturday,1619.25,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,7,Sunday,1243.5,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,7,Thursday,2943.4,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,7,Tuesday,2873.5,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,7,Wednesday,2990.6,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,8,Friday,2916.25,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,8,Monday,2889.4,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,8,Saturday,1694.4,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,8,Sunday,1348.8,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,8,Thursday,2913.75,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,8,Tuesday,2905.5,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,8,Wednesday,2897.75,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,9,Friday,3002.5,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,9,Monday,2507.75,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,9,Saturday,1682.25,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,9,Sunday,1255.5,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,9,Thursday,3009.5,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,9,Tuesday,2977.2,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,9,Wednesday,2961.4,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,10,Friday,3059.6,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,10,Monday,2203.0,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,10,Saturday,1330.6,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,10,Sunday,1324.25,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,10,Thursday,3047.4,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,10,Tuesday,2960.0,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,10,Wednesday,3031.5,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,11,Friday,2699.5,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,11,Monday,2718.6,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,11,Saturday,1446.5,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,11,Sunday,1022.4,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,11,Thursday,2534.25,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,11,Tuesday,2950.5,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,11,Wednesday,2786.5,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,12,Friday,2623.75,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,12,Monday,1921.0,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,12,Saturday,1317.75,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,12,Sunday,689.0,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,12,Thursday,2399.0,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,12,Tuesday,2089.6,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1998,12,Wednesday,2697.0,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1999,1,Friday,2224.0,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1999,1,Monday,1974.0,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1999,1,Saturday,1404.0,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1999,1,Sunday,981.6,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1999,1,Thursday,2803.5,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1999,1,Tuesday,2813.5,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1999,1,Wednesday,2730.75,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1999,2,Friday,2881.25,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
Richmond,1999,2,Monday,2117.0,RM,RICH,37.936887,-122.353165,1700 Nevin Avenue,Richmond,contracosta,CA,94801
