start,Millbrae-Daly City,San Francisco,Berkeley,Oakland,Walnut Creek-Pittsburg/Bay Point,Fruitvale-Dublin/Pleasanton,Fremont
Millbrae-Daly City,96059.4821456,526390.508048,47795.0300583,57415.987272,43394.280886,37375.7353379,11223.0528654
San Francisco,494390.865576,1303397.55692,450097.90303,665588.416337,418693.504602,498857.341353,204452.091456
Berkeley,44668.6685048,446132.565489,183332.880596,127168.544658,41188.7064182,76303.4965195,34563.2283896
Oakland,53169.8803947,672431.937648,128448.200839,91248.4945783,90057.1075223,96451.3737115,44518.4366663
Walnut Creek-Pittsburg/Bay Point,39818.9096684,420221.871325,40193.3543562,88431.5790182,78567.8173185,59495.9962129,19699.210458
Fruitvale-Dublin/Pleasanton,34234.4434624,502099.51589,76809.5856633,93643.1394058,63159.3839599,194068.486894,78257.5725321
Fremont,9869.81338326,209936.910953,33675.6035306,44055.8934193,20074.7241602,78067.6210422,51064.9453872
