start,MB,SO,SB,SS,CM,DC,BP,GP,24,16,CC,PL,MT,EM,AS,BK,NB,EP,EN,RM,OW,12,19,MA,RR,OR,LF,WC,PH,CN,NC,WP,LM,FV,CL,OA,SL,BF,CV,WD,ED,HY,SH,UC,FM,WS
CC,15092.9792967,14557.3171148,8745.87909167,7334.73559657,9626.98665603,18894.4318448,27321.285213,16504.1933394,30698.6700919,22010.1302423,2678.3602643,10044.2492519,8604.40814157,10643.4002202,12661.6789702,22644.2721501,12188.2194046,8720.704048,14628.2129604,7029.00399484,20486.3194084,19732.2048151,21613.9280132,21089.3400281,16756.4643655,5594.49972659,6792.96658692,11109.3178021,10431.3305802,9132.87930812,4368.50268094,10664.0440837,14628.803186,19406.1389231,10555.977417,1858.28755981,9211.69018,8197.81231868,5048.32127668,5486.7598276,12969.0387902,5531.88128275,3980.14256475,5652.18833447,10061.0901572,0.0
PL,24716.759858,41928.2791562,14082.44419,13487.5279107,18136.7130326,48948.798838,82162.9575871,39972.6017544,64785.9154021,53339.1328776,9605.89011164,5174.37844991,3997.84818486,13957.5817764,14265.6061555,35876.9632225,13543.27054,12484.6486633,26624.5355662,12361.0539189,32194.010063,26392.9641034,23144.2357864,24236.108039,19895.2971368,7892.55644034,9671.14836333,16878.9249905,15644.204648,14178.8267221,6491.04376851,16505.6203387,22161.6891129,27992.7556847,16081.7783208,3794.60005696,15532.9513063,15338.1034746,8646.77000456,9367.63432445,22757.6294486,9423.51581606,6215.65132908,10354.9944331,18808.4877193,0.0
MT,21539.1332194,12489.062482,10714.7714438,11713.4488038,14297.6788714,27858.6021075,33027.177736,22901.6065391,33346.9620643,26620.4241019,8459.34196476,5694.38146123,3021.50594289,2477.60648211,13337.7527379,21815.4751576,13506.6126187,10842.8190894,18047.108096,7026.20483785,25669.3008164,21594.2012417,22623.2774018,20689.9730197,21196.7245576,11298.0643541,13421.8319283,21866.3621744,23457.7053999,14688.2893028,7225.63575226,11834.9802954,17115.2531746,18086.979798,10698.1825245,2538.07911066,11550.650057,11583.045671,8635.3244209,11277.5928154,24256.237051,7818.9978393,5792.72214627,12372.5809828,23531.7094668,0.0
EM,18688.3600289,13757.3474899,9817.78940153,9799.60668338,12567.8071125,22858.163944,26379.0816169,19679.5801208,29599.4135224,23261.1550239,10323.0743222,17174.0217779,2691.16117946,4056.44174451,13835.9243715,28517.7658237,14096.6614301,10549.215011,17952.3140351,7164.22513101,31304.7693324,23236.5487583,22309.5808499,21034.6144604,22727.9294714,13594.4319131,16724.9941672,25398.0697046,25020.7612706,16036.7436774,8020.32251082,13999.0197577,17043.1271436,18918.1204451,12984.6312334,3446.29255335,12706.7634541,11888.7483975,9614.64544695,14909.8664844,35527.5283246,8833.72156907,6570.48132073,15082.5309676,29510.5749639,0.0
AS,961.588664844,1922.57393484,372.865345181,219.817247665,275.432611833,1005.98276752,1019.61396294,1187.89423559,4419.59601656,7306.9349738,11740.8637693,12493.575074,14808.0804056,18324.9185198,617.923065239,10610.7053239,2080.03654211,2568.57840055,4355.25472393,2883.7065049,1128.45350497,5997.84245462,6273.47516139,3299.79453558,507.252365763,238.581389079,328.152115136,774.526900585,552.571120984,662.061202248,166.280675173,763.641592618,2173.98637503,3583.9002962,2968.51169591,831.726315789,1364.36558442,1083.60886686,255.110822511,321.018519784,631.806470722,1085.7855434,503.188057264,854.419146351,1598.42919799,0.0
BK,4959.76570593,6541.27307663,996.126756285,745.274109516,813.802772082,3577.63720286,2674.08666363,3521.91774132,7891.77881826,11264.7179122,18969.7761639,31803.661882,22928.6602567,34665.8942128,9247.84998481,1633.49966583,5437.42668413,17779.8309942,21257.1012873,10798.7306448,2732.89890636,12325.5577504,13028.513587,10602.4206387,2031.11225032,1890.22997646,2347.31794258,4090.77988152,3391.49955571,3065.33258525,888.05914787,2597.81157059,5996.83072834,8287.41374649,5034.554048,3289.57421584,4312.30781119,3803.0799157,1320.68952305,1577.87215767,3709.58920787,3476.35538847,1829.39827599,3476.26513633,9438.29568239,0.0
NB,954.596388699,2719.60220248,283.309497228,151.804127744,239.888531936,928.525104428,921.3553467,1097.78214855,3289.50019367,4949.68851295,10590.3436964,11754.6689413,12874.9528025,16977.5860485,2043.98791296,5984.16408445,535.855369484,1914.71789322,2658.32873092,2338.33212577,486.084487734,5085.36391357,5179.01997798,2526.68013595,722.312235133,258.526790461,313.104989747,730.482402977,494.639443305,496.584943419,140.451853118,513.083781423,1657.70309486,2089.35901876,2102.69477482,951.943157135,918.61151743,618.422267791,230.756573251,211.946320346,471.211779449,671.123543708,295.606846662,464.841463507,1229.07555632,0.0
EP,739.302730311,1830.41308954,281.324675325,186.018595732,200.420695679,1039.78870282,643.352023999,855.707135262,1856.2345447,2621.67388167,7801.67795246,10489.7986709,11217.4588403,12920.5807511,2431.28654211,18052.8848219,1973.46079593,418.089849624,2938.01933242,2776.08233462,470.005680869,5903.7812068,5269.56522367,2907.33257006,1139.21708438,310.571348827,331.355282145,621.536682616,439.3919078,485.182015645,100.838877497,436.433785221,1812.43615098,1710.18276752,2271.66747171,671.502377155,803.322491836,538.460199742,168.33388775,243.414912281,467.326870206,534.999217741,230.280994152,395.042352092,1254.18001443,0.0
EN,1285.97487279,2534.72434116,1016.44360523,592.381081492,788.988311688,2684.80096453,2151.52614491,1474.58231564,4181.42236652,4729.49068505,12348.5200919,21703.4192489,18055.9210792,20744.9620605,3886.20993393,21825.0888623,2431.74677983,2685.85689223,597.607647908,3077.89958988,1092.81347687,10345.3438521,8275.30262398,6259.17445508,946.221861472,310.064562922,293.89034708,1039.87674489,467.122936128,984.337829422,169.560211134,1493.28509531,2528.30150376,3818.57082859,5657.86244399,718.170885547,1704.21774132,1440.40891623,279.738661047,370.752908787,768.599369636,1670.88892307,787.615026202,950.309136478,2153.46030987,0.0
RM,769.331039721,1304.89862915,689.130276449,335.297896256,433.939530645,1562.07198299,1552.32505126,965.160822511,3928.3057758,3887.18131313,6360.30048606,10779.222883,8200.67216526,8613.11711096,3057.98514468,11646.1358586,2441.73233842,3046.61620339,3419.73004861,395.481438445,683.600926559,4140.49095466,3361.85532392,4190.74889117,645.623574087,229.497562087,261.280397965,600.810868079,328.90200881,737.905054302,129.718531176,1177.99164198,1280.37698792,2792.42407154,2463.81312752,218.202779676,1172.65099111,842.92845371,146.314019898,140.757116276,391.687411711,1040.50292018,526.287491456,561.782068808,986.633682692,0.0
OW,859.030314422,2788.22458799,734.411695906,281.999878484,347.11471102,1700.19084074,2100.94958609,1684.51873623,6985.51742994,10995.468159,20570.6695679,31137.0215273,28690.7167084,38087.4544163,1196.85842257,3039.73522822,550.468853953,444.766195793,1192.52887142,736.609949115,610.841452115,2753.9406091,2027.46544391,2021.2815068,940.701811347,131.506277056,207.421250095,520.540198982,345.775541126,519.038987621,132.763681932,1020.75670996,1337.59673046,3285.07878028,3006.12595504,229.785034556,1097.83166249,1214.23662186,329.10364168,317.309493431,705.389735703,919.100421508,355.685516822,351.73089542,681.851492367,0.0
12,2733.42003114,3151.00025442,1592.30511126,1330.25904534,1812.55793651,3277.25835042,3134.23981165,3122.8089618,6575.31453254,8155.21752108,15456.898557,22871.9671413,22259.5898458,29567.5988722,6197.23522822,13940.1450444,5019.69093947,6108.01369712,10543.9152958,3944.03175363,2852.85006835,992.442936888,1145.13799651,5757.85176198,4408.49238627,2261.91356042,2541.67271968,5040.58387256,5214.5018721,6016.56486671,2408.88565733,5895.84513177,1129.70565049,5694.92392724,8036.02754994,1401.68419154,6116.17845751,6377.98961039,1685.4687932,1731.08384598,3174.05904154,5066.90603023,2611.98889648,3857.15763652,6480.44493431,0.0
19,2324.84578871,2444.12003873,1094.60511506,1030.07857902,1094.3210982,2882.02429179,2548.3076555,3204.80603402,8097.2553505,11538.3734032,18851.7889458,20886.0755297,23585.8375066,29284.1894509,6195.70275689,13900.3355016,5066.11231108,5294.05149616,8277.2083846,3115.70183793,1987.32885623,1063.16348827,878.455984659,4614.25828966,4622.062144,1805.1559315,2645.71765019,4910.81934381,4894.2239918,4760.4190818,2211.1767335,4416.82287537,993.595568467,4706.71439964,5132.92777778,939.863522442,4016.85188729,3762.72316397,1294.33624592,1427.20538088,3123.99016481,3629.02063112,2385.88851675,3263.30738589,5816.13303714,0.0
MA,1378.58101314,3213.17695755,770.972070327,420.053159414,527.867247665,1852.74000532,1863.17146275,2021.27006911,7355.1618554,10999.6515531,19071.8716678,21446.8578226,21899.6181173,25985.7841688,3130.79657097,11221.8530417,2561.41182122,3162.84601656,6229.93392193,3759.05276069,1916.24598618,5310.07920179,4402.60450748,798.015793271,2079.16637807,1054.73710033,1178.37881826,2811.802305,2526.39000911,2809.75269234,897.211107314,5257.10911749,2011.6849662,4908.14554948,5203.14028252,908.233268778,2627.88689527,2674.73173084,595.430067593,601.227804359,1280.95720741,2472.25418091,1131.64859117,1542.29389762,3037.3001481,0.0
RR,923.970904534,4065.83793575,358.393168527,196.71499962,155.813932559,979.371512114,977.416981849,1422.99420141,3921.65532392,6472.6560758,14245.243704,16521.8299954,19851.9105187,25980.783303,476.974519632,1743.5411901,610.969864054,994.950189869,935.885748462,561.476779069,895.972127288,3817.78061821,4195.4588137,2076.513868,696.032133364,1899.95689603,2279.00142022,3878.950862,2757.80849092,2141.71796157,541.393890028,1652.10454166,950.786857295,1580.21593757,1874.23712691,641.035919344,765.471086808,444.932125769,173.583545986,153.162106023,376.069651401,471.220828587,226.067110959,327.949673426,920.912842713,0.0
OR,310.021588061,2089.58386497,124.415386952,108.812580694,122.421341232,513.608190932,282.846684894,451.106394775,868.266617301,1266.2109782,4969.69873927,6699.93796613,10539.5467153,15509.028093,195.217642591,1865.11770715,268.908946609,294.241695147,271.904731526,252.301143009,131.552248044,2059.89430394,1829.00550619,883.37145895,1966.43471178,404.744865953,504.090191388,1115.95991874,711.916097061,957.540992633,163.389006607,661.252099947,299.877394243,618.818546366,1224.13928382,296.291019215,222.222810815,146.051196172,43.5781157439,39.1124629756,69.1189944558,111.794121668,49.4259550391,106.649536721,347.000744285,0.0
LF,404.304363181,2590.24454697,191.577356269,117.656652996,147.452703729,515.91203767,338.585907952,462.330705552,985.778320802,1523.29625199,6131.23143844,8323.79000911,12539.817859,19064.2856497,311.881225792,2305.00141642,319.693350801,303.677971444,367.15380117,197.339705324,196.760112402,2464.01999316,2571.84926331,1188.02319815,2325.69325587,560.316833751,402.561255411,2046.97917141,1365.24473684,2669.39516215,306.355582137,1146.70118098,306.088395231,596.397224121,1509.83736614,492.852210071,202.360271892,158.185182654,42.1875787955,42.5397546898,71.7153831549,188.02526012,93.914813549,106.894554568,346.373190552,0.0
WC,805.44323688,4725.00224045,496.410598466,378.449373434,498.259216222,1506.23152578,819.618037518,1126.78156756,1893.98310549,2851.8632984,9425.08327258,14623.5799651,21077.1680641,30761.9696742,706.434958609,3960.18868003,707.696920331,628.430561252,1011.59396218,516.855851751,445.169605833,4644.49117111,4702.80044809,2634.15820232,3762.03979266,1132.86349586,2068.5322245,669.897789929,3470.21692489,7955.51596036,1175.07657781,5889.25977064,745.482395382,1067.08788259,2546.46624516,942.746882357,511.752893598,468.013492063,157.813275613,98.6371800714,205.635494038,525.962314878,246.590890104,300.661988304,766.29650262,0.0
PH,598.22682084,3963.35884408,516.880006835,370.101165793,365.381077694,1515.55645933,772.094379889,1028.54327865,1540.08871801,2691.83081188,9237.64612288,13025.0255297,24193.7115668,31719.9823422,552.867498291,3512.68508392,495.923057644,402.185087719,491.616233766,286.298621554,344.318751424,5335.99822283,5125.84511658,2533.87496772,2800.16608567,756.813894585,1627.77756892,3760.68727121,658.219252677,2875.15667958,700.054997342,3398.61646541,559.496764639,619.511346548,2306.9687894,1023.17520696,472.238376244,371.236021873,102.753770791,131.628389155,206.551503759,436.937328169,178.064300904,301.890529354,810.024531025,0.0
CN,679.552046784,2700.42424622,568.843848257,431.117433736,491.484495329,1837.38125237,1025.96002506,950.109960507,1733.16012379,2327.57660819,7864.30783398,11539.1853649,15708.4431533,19608.6126832,625.834240905,3044.55719602,509.421701982,422.021052632,981.824375332,667.021405787,442.81937799,5798.8134389,4760.04892914,2811.35719982,2105.07414369,1005.65936052,3173.93522063,8946.25321637,2787.75369864,620.086340852,1133.70803144,9298.98156756,777.574599377,1349.27346396,2208.5015949,605.39040404,712.333375104,603.369021037,183.415485684,173.378142326,319.74515835,592.597596263,295.081723248,410.762724994,959.955684666,0.0
NC,238.108859269,1403.59651781,227.147892458,166.898496241,148.871139971,866.535850991,413.61670464,304.669112174,763.156542872,1134.18926483,4026.52243867,5929.09254196,7768.21032506,9918.84904306,148.267862839,921.468865345,155.3160401,108.246476039,169.505118858,136.523923445,117.449897471,2489.36162755,2315.96266424,863.238588896,509.743111567,167.486245918,287.238102833,1207.16714134,742.370965292,1260.97521455,275.956258069,1529.3000038,316.990229361,252.380842257,1198.68380421,240.717509683,161.654849244,146.944224197,37.6747740564,33.3985456064,62.8087491456,205.074542417,64.7949570897,87.6814004709,227.467866636,0.0
WP,844.340457204,3360.28115744,1009.45589732,606.380861244,794.058942812,2240.69949495,1580.77407154,1209.30580618,2749.38003342,3160.51196552,8979.66857674,13694.680041,13468.5755449,16854.9275613,789.956125161,2604.99446723,508.163788259,410.180891623,1320.68524341,1119.54852662,930.828229665,5773.92273487,4370.80064555,4688.00849092,1452.3692223,522.36960963,1157.67821068,5866.88155996,3161.68746108,9180.08832308,1287.4968178,836.063176882,1090.13147262,1817.15874535,3610.48402825,562.302069568,1029.14602415,865.403448014,145.578916989,182.898260804,427.239215463,1128.63243336,498.609618744,501.857146655,1161.88301815,0.0
LM,624.321489329,1056.68601428,478.789169894,263.306535278,286.426885395,2268.49635073,1904.19143313,1414.80238855,4300.21617301,6941.75728716,12412.5178135,18896.4874269,18533.6898079,20499.9299727,2128.28874839,6124.83823194,1605.36157059,1753.78259664,2486.28985342,1255.37314498,1070.49241285,1103.60815296,1000.75387332,2021.38470418,991.402908787,250.811107314,287.918796992,661.485626946,501.114946457,727.567300828,270.18010177,933.107617529,585.850941748,4708.94915319,6365.42378294,599.374705704,6318.21538695,5906.94405711,2620.68467001,1851.3488494,3820.17523734,3232.86908559,1798.65082783,2495.59409509,3886.67391585,0.0
FV,798.553117643,1633.63784461,806.971360219,374.646472241,331.472856383,2698.34412926,2299.77509304,1614.33347004,6400.72144376,8275.47598162,17868.6968558,23517.725431,19985.1697539,22750.8545986,3536.61056809,8311.68604845,1997.87738285,1626.74564821,3921.13430546,2764.48230045,3278.10235057,5384.79501025,4293.2810701,4828.45857826,1624.79794182,523.529847346,592.060017468,990.883492823,608.056204906,1336.29160781,251.93537632,1898.39529506,5281.60444672,775.251306296,8607.83823194,318.994497608,5961.99090529,7270.12645249,1548.10371763,1792.57915243,3130.75833523,5534.67217286,2377.02188046,2197.5369978,4251.59105339,0.0
CL,925.668990658,966.166222374,981.247953216,556.199943039,484.033986481,3321.2147376,1969.75096833,1783.60798208,3502.07925116,3962.76912357,8942.04222298,14568.7183223,11002.847619,14613.2672249,2764.18428268,5149.31196172,1997.8313587,2199.88197008,5309.1976874,2402.63936356,2874.82864358,7530.00481127,4662.55017088,5058.30081264,1779.88458647,1152.6005772,1428.54623301,2419.59902408,2086.30753399,2117.57021721,1102.94000152,3605.68304473,7196.46292626,8595.76120605,675.563617377,2118.16229209,7355.70353915,8508.49856459,3598.33838384,4616.74021417,12086.7648629,6562.8036151,3264.80983899,4376.55284043,9724.16255411,0.0
OA,261.394452039,735.529266348,105.292784993,82.1642857143,71.9619996962,491.569856459,305.705407458,471.995374801,918.257799803,855.408266879,2082.38173084,4238.81943495,2784.4206615,4316.16435407,1197.95382395,4393.03214096,1360.87934609,941.802286018,1029.18104352,317.517885623,326.488501557,1588.04819625,1204.77706007,1390.47786512,1009.78561555,485.317699552,762.80080884,1443.21784765,1405.65998329,879.073623453,343.364266727,865.710401003,1065.23718767,509.589990127,1988.17458799,380.771720969,361.760169363,302.684571277,349.391972355,1100.26406547,2355.72128427,493.125727197,244.315174299,631.273418394,1249.80260879,0.0
SL,347.98356877,910.459527607,372.598940533,326.293081188,251.180329612,1648.7053429,1289.28097517,821.102806258,2128.21180223,2795.43882054,7664.4050581,12932.8162338,12218.4375104,15557.3512987,1313.26023772,4266.46783246,854.389355966,724.701629073,1529.28601048,1047.91186299,1076.45164426,5685.30004557,3714.42275385,2353.15547201,664.355350497,183.801970836,218.285904154,504.357670692,438.08364092,658.894455837,164.771284271,1013.61331738,6419.4482608,5720.69933166,7292.2635908,239.059569378,550.426543632,3677.83176122,1371.40494418,1514.13185616,2080.34957469,4384.96367054,1691.11604769,1926.26024911,3243.66307815,0.0
BF,273.434172553,632.48722564,531.281909319,251.356212501,295.737392724,1553.34015721,1154.80524037,661.027105643,1815.23189413,2509.69960128,7342.93863446,13137.7212615,12828.264206,14527.4641794,1116.46525025,3791.6593909,643.829934685,558.253182198,1472.83741171,880.783010557,1164.67395003,6246.6291942,3472.78501557,2562.01533759,426.755449229,148.086834511,145.510176958,482.656364396,343.902479684,613.140928078,148.957439052,920.607670692,6120.84344194,7148.12997266,8548.82567403,208.094064707,3785.92139819,564.733830789,2266.99531404,3775.28490924,5375.35137085,4882.20538467,2622.40262778,3447.46574011,6376.7845333,0.0
CV,133.902392344,518.058346624,145.118834966,97.6868648895,64.0925229741,733.484221918,419.971986785,356.310723779,841.325305688,1343.51564517,4662.94039645,7400.35853649,9072.86270221,11561.7055404,274.139830637,1321.4226855,243.064179388,191.843886231,281.067316017,147.680177717,349.335923141,1652.19345713,1251.11530721,576.323175363,175.12614111,42.6703463203,51.3893521683,169.450205058,96.1737563606,185.275738589,48.8159413686,167.551553125,2713.57024759,1578.33462064,3718.93549784,207.163180679,1367.87937647,2022.38105111,274.354241665,3187.62447406,3095.35264677,818.600615174,513.987020582,577.25817954,1049.82279563,0.0
WD,167.770517202,1014.4609858,136.80638718,111.381461229,79.2209273183,942.516788183,440.653140427,477.802616389,791.042690058,1298.54231412,4811.79050657,8050.38394471,10667.8794752,16522.4650452,266.24992785,1499.2497152,196.143715349,221.437757272,319.427306904,122.213359155,295.722123491,1699.43783322,1280.20128731,554.024212045,140.506930204,34.5353953064,43.9196703881,94.6134730766,118.86559201,157.437069948,21.2348370927,202.103299916,1723.24082935,1685.70879471,4569.19408369,710.82495633,1421.55799347,3418.20630744,2875.45092276,596.113985722,1230.57438672,1426.28992937,670.23010177,731.805790993,1334.07125389,0.0
ED,490.544831776,3219.86390977,378.260423787,361.925624668,357.115888205,2396.17036151,1366.45541885,1141.88520924,2162.92958912,3367.45463659,12288.8888357,20713.3579365,24629.7480861,41859.3724083,622.755585935,3606.48460545,448.181073897,478.549525328,726.764627478,368.547812714,668.734119389,3316.83181438,3038.04632035,1241.0567935,324.529987848,70.6549593681,68.9161312372,188.407158047,185.879456216,301.061133895,64.0782638414,399.282338422,4086.08545986,3001.36580466,12907.8765968,1600.85775044,2100.39249639,4804.36831852,2884.18812182,1048.05306068,1377.32289056,1754.54154705,884.535080125,1505.94123566,3094.69968862,0.0
HY,243.228335991,526.754959368,367.870236197,192.400918964,186.383770031,1061.09924432,752.861487051,527.71745652,1391.31284271,1908.71265284,5065.05251766,8240.58039796,8597.46851978,10759.5311916,1013.82608035,3513.66457052,679.144030531,511.958893446,1625.27573099,916.002069568,856.802160705,5159.18904458,3352.66131997,2458.65417711,511.037400319,133.974094327,177.901773373,517.166507177,458.947338042,605.50705172,190.470536189,1129.20791372,3400.04214324,5524.99533683,6666.8664768,285.579433432,4525.09140655,4707.20125313,847.239226855,1476.4486937,1790.96161236,628.70735551,2466.51757804,4452.39097744,8259.82385129,0.0
SH,169.192230576,325.30184932,214.32065011,156.898074732,143.496039341,869.336002886,516.446984886,300.965698337,1109.13328017,1353.31890332,3704.14245842,5516.60292398,6341.90211893,7974.85661502,524.188991418,1859.10046328,274.161027569,249.236929445,743.748530417,540.693555859,370.940814157,2769.60947824,2405.03908255,1184.91154781,222.521929825,39.1668033721,97.8069947596,255.147839295,177.986131997,322.561866788,65.5042226779,529.70660363,1860.3157553,2416.30997949,3522.84919116,158.956216298,1847.75506949,2594.40849852,482.899396218,665.865121136,882.945583656,2712.88927622,336.624333561,1939.44009645,4479.18732817,0.0
UC,143.836796537,665.397003873,214.292109061,143.988368649,156.813279411,1134.08227766,548.223744968,296.921451356,832.8395952,1449.53196248,5133.86711476,8514.56649958,12986.3843662,17329.3501975,778.679034708,3436.12902332,486.5998557,371.213924964,931.659345333,503.919488114,332.114866712,3874.63948128,3172.41857295,1495.89154325,314.276072758,106.826927166,113.01656034,295.490874915,309.38559277,406.472472849,91.1433659907,520.154921394,2511.75762892,2138.29069644,4505.19691274,417.548629149,1841.6406015,3268.00208476,538.690574922,788.579479001,1524.69330523,4446.00801625,1945.4984127,630.693935597,4924.19726209,0.0
FM,194.364726209,1237.85764791,332.18989899,190.063393332,224.01539075,1796.96048454,941.13692185,743.22784613,1557.51855776,2976.97842333,9509.01331359,16252.3329802,24584.5698527,34058.4892231,1504.73012076,9213.10820232,1243.2157515,1238.793928,2023.50816055,921.18914711,582.270365307,6514.67643351,5584.94970001,2912.58798891,848.903535354,341.311437685,351.788000304,777.305179616,747.835991494,949.843460925,215.882099187,1167.58115744,3934.14415584,3984.22982836,10161.5110238,848.291512873,3015.5609858,6681.39788107,988.024819625,1375.9999962,3154.64953672,7936.16551227,4100.39722412,4754.44630136,1516.01466165,0.0
