start,MB,SO,SB,SS,CM,DC,BP,GP,24,16,CC,PL,MT,EM,AS,BK,NB,EP,EN,RM,OW,12,19,MA,RR,OR,LF,WC,PH,CN,NC,WP,LM,FV,CL,OA,SL,BF,CV,WD,ED,HY,SH,UC,FM,WS
MB,1302.96125921,10763.9373699,1392.28406623,1310.45731374,2338.12204375,6131.43232323,4241.07515759,3356.5143009,7017.85870737,8568.39504823,16326.4890218,23548.9165603,24207.3245424,20630.0538809,919.605589732,4819.58781423,906.958923825,721.243912812,1254.06164654,668.067490696,760.676148705,2908.66002886,2330.81854637,1375.36771094,1003.49115212,314.498181059,410.268098276,875.955263158,606.162884484,736.741752108,232.638672439,846.391915395,556.060868079,771.143244475,1027.54489633,148.315478089,372.882513101,260.737886383,146.436306676,167.837544619,527.54939242,248.02007291,181.658707374,178.901321486,222.001534138,0.0
SO,13569.1773715,1166.78317764,2037.77722336,1433.26699324,3555.0205172,6769.90461381,3862.66541733,3733.57756133,7144.08615858,8236.15557834,18452.7666439,49657.83126,14170.7133136,16500.6128769,2274.20212273,7831.02002734,3213.45083922,2176.89597479,3019.84684818,1387.96933622,2542.96322245,3858.91135414,2878.80463279,3784.00444672,4776.54027113,2303.55177717,2922.37278423,5403.06615402,4679.43658009,3125.44223817,1534.57639933,3871.80988836,1161.74142553,2151.07863598,1124.01920331,825.685482646,1184.83990279,755.275579099,678.322700691,1417.09188881,4081.29062049,728.73550543,397.969484317,911.702707526,1772.86003645,0.0
SB,1244.19557226,1597.42218425,454.617270449,1112.08619275,1937.20407458,4488.7524531,4333.68155616,2262.6586656,4734.31875522,4002.01708058,8593.23849396,12357.3571846,11921.0201792,10078.5819625,346.600964533,987.022556391,279.307496013,302.623201944,1026.59758867,640.098230425,650.339773677,1630.8804929,1035.20468596,741.860803524,381.216062884,133.997550695,193.823585479,484.36284651,522.393707754,583.954978355,215.115022404,1048.11419458,394.005001139,841.273114605,939.382756133,71.2188311688,357.364919875,501.532448546,162.132156148,129.413575606,340.164524949,385.612599681,207.594076099,201.037354751,322.415618592,0.0
SS,1327.5696476,1249.58118402,1120.09911901,394.78751424,472.796814005,1745.60465178,1813.49331283,1033.16269462,3050.69297866,3421.39938862,7529.13839523,11855.3024569,13269.5209273,10346.596533,208.728677755,761.288304094,156.811407306,183.662914863,622.693024227,346.249764563,258.387248424,1413.01125541,1063.20532771,402.406535278,201.070615934,122.610507329,121.466590719,357.710241513,378.956778309,439.821793119,154.804336599,658.883587757,235.73268778,390.767934989,605.87163363,56.2192830561,321.778396749,255.878108149,87.9835725678,116.28446495,342.937753475,191.034818106,158.463530037,150.161711096,201.467627402,0.0
CM,2316.94703045,3135.69983292,1969.05243412,441.374420901,342.129429635,1212.6903129,2848.98606364,1472.44379889,4142.38356497,4307.4291904,10061.5142439,15709.2717438,16631.1633933,13160.5747968,295.630800486,833.598249411,205.42183489,195.224542417,824.260560492,439.844676084,326.616898306,1869.87336903,1105.94139136,559.060089618,165.900960735,117.156964381,128.496081112,506.505107466,317.892773601,492.560989595,154.517357788,849.80726817,276.724944938,366.740544543,548.82132984,43.0613123718,247.710150376,273.884468748,74.7799688615,94.9642971064,344.774891775,205.940658464,154.851891091,167.637806638,259.399722792,0.0
DC,6493.58561176,5534.55481127,4726.7624212,1818.82784233,1220.61810967,932.185315562,3048.16491228,2156.16456292,9463.26074277,10439.3112934,19476.9697273,42654.4178704,32326.0040062,24572.3333523,993.637643351,3750.08510291,947.749973418,1014.68941672,2673.34443305,1566.40398344,1426.64128503,3324.20708969,2926.21341612,1912.71202628,1010.20380117,514.061988304,535.334711779,1566.22766765,1560.42349814,1813.27349434,855.019837472,2373.53233462,2351.26070479,2671.16614643,3415.38270677,332.420239994,1704.44973039,1553.85514544,761.317597023,1027.47763348,2405.93098276,1087.91603251,834.960982,1164.77631959,1866.04227994,0.0
BP,4620.69837093,3259.88984203,4753.33336371,1945.29033569,2871.91306296,3476.14686717,1823.37570062,3065.68013595,18432.3987734,19773.1194046,30592.6863978,67074.9335498,54744.6500532,30141.5722906,1010.90254424,2944.73389534,899.215633781,744.650246829,2503.99136098,1654.11902483,1937.76847422,3564.11408445,2661.60454166,2015.63305233,1029.26111871,324.518485608,338.833390294,857.972237412,844.515067973,1147.98824713,415.501579707,1852.18039796,2131.59152047,2471.82985494,2152.2294828,211.491190096,1371.70112022,1264.21605909,428.092298929,515.441414141,1464.46365535,856.087783854,535.430394167,602.575985418,1081.70467077,0.0
GP,3273.6434951,2735.92215387,2304.80511506,1039.74092048,1512.25449229,2306.64767601,3008.81987545,1013.74491152,8525.5226893,10540.2652351,18172.0531746,35635.3235361,29275.0229247,22358.6220817,1111.78870282,3614.20863143,1173.83156756,884.030728336,1722.81454773,996.185547201,1520.36700843,3378.53266879,3397.95724918,1982.14430014,1618.6060644,608.964802157,588.579987848,1177.36161616,1586.3851219,1074.70090757,326.93810663,1361.7057796,1679.48997873,1682.09384446,1934.87390066,335.794258373,877.5284689,788.589397737,367.270574163,539.879794182,1225.19319131,579.354951773,329.150034176,376.714540138,797.658335232,0.0
24,6389.48389914,5273.03931799,4761.87974861,2958.61828055,3985.0631465,9588.78371307,16895.8365041,8255.57808916,1915.7069378,8536.42341839,28283.395128,57108.6917635,40137.6949913,33730.924531,4431.20515683,8003.0146009,3325.1226931,1871.53321182,4578.25873775,4277.55857067,6311.40874155,6853.41162755,7895.09843928,7064.86176806,4066.85077846,873.099605073,931.513359155,1939.91717172,1568.29290651,1889.86153262,767.10869978,3026.53738893,4714.98792436,6535.75795929,3467.34513177,614.823585479,2261.96440723,1795.95012911,835.8604048,777.571591858,2067.04674185,1396.70682768,1089.52256019,837.022822207,1537.80196704,0.0
16,8085.05544923,6499.2865573,4018.57939166,3298.86562239,4091.97747019,10508.8464646,18138.4644946,9935.64171793,8269.36304777,1625.6635832,19869.9197919,48706.707196,27504.9655426,23469.4618972,7440.55296575,11506.4577694,5027.84471026,2924.51692869,5445.1525974,4184.25718463,10608.2622465,8647.54522291,11558.1198223,11245.574026,7092.43436242,1340.69790385,1610.79977216,3195.45425306,2932.13886231,2623.30353915,1233.49905825,3507.28577504,7595.00810359,8608.92240829,4115.21983368,678.740183793,3047.58000684,2694.28950406,1420.88865345,1469.97974861,3525.80007215,1968.35424546,1403.96378066,1589.38067517,3140.55478089,0.0
