start,Millbrae-Daly City,San Francisco,Berkeley,Oakland,Walnut Creek-Pittsburg/Bay Point,Fruitvale-Dublin/Pleasanton,Fremont
Millbrae-Daly City,2704.96383805,11427.8423956,1335.714169,1271.94864217,1130.24739651,764.115508147,417.055194403
San Francisco,10840.286682,22305.4695937,9304.04478742,11209.800544,8026.46371301,7229.31264676,4867.88589576
Berkeley,1249.62934825,9124.53809348,5340.27352677,3150.93662679,1244.16940286,1689.18938249,1250.1947317
Oakland,1210.67849547,11248.5014479,3225.52874569,1939.57984055,2120.29331189,1791.26291061,1337.24361879
Walnut Creek-Pittsburg/Bay Point,1057.08350031,8006.40152182,1231.63402045,2098.05743577,2382.8442062,1265.52489205,727.532255349
Fruitvale-Dublin/Pleasanton,713.705353848,7234.91080485,1695.77471165,1733.41183642,1315.50357516,3122.59721474,2119.0011426
Fremont,368.333352633,4940.09659163,1214.66385369,1320.09449569,735.874477973,2098.17442523,2190.17735617
