start,MB,SO,SB,SS,CM,DC,BP,GP,24,16,CC,PL,MT,EM,AS,BK,NB,EP,EN,RM,OW,12,19,MA,RR,OR,LF,WC,PH,CN,NC,WP,LM,FV,CL,OA,SL,BF,CV,WD,ED,HY,SH,UC,FM,WS
CC,14619.264568,12607.3999034,8165.6737377,7253.53444976,9012.75937373,17528.0108047,24189.0776244,15455.6186717,28709.7881477,20308.4547976,2560.12306805,9641.43948062,8657.15165681,10900.3019961,12047.6303753,22104.5987033,11955.1071315,8936.68162501,15035.2377698,6681.16388649,21111.6282524,20131.5066792,22202.2788647,20625.9297305,16135.2227347,5783.0920275,6943.03235262,11930.5463773,10938.4705667,9444.82631232,4900.12693096,11034.8893122,14701.4378852,19090.2020872,11402.980301,1911.00624189,10280.0793481,8525.84846553,5187.26894806,5742.23043379,13442.3267011,5579.71249567,4063.94272985,5726.60442955,10545.3553221,0.0
PL,22817.8283376,37443.6435848,12925.896676,12876.9291014,16597.7782173,44997.1097244,68449.9276908,40007.9646344,61679.7939082,48727.0618562,9027.86176558,4929.17088274,4052.6504651,14259.0165661,13441.2362467,33080.4970767,12844.6788647,12571.3109013,26181.6178722,11872.3131361,33113.008761,25989.762304,23125.5200075,23295.9934594,19230.3518752,8099.04077882,9359.93941425,16912.1593495,16294.6579651,14379.0777022,6832.46604505,16892.1850758,21761.8640237,26835.3365548,18012.4391953,3852.63039615,17769.2799613,15416.4715742,8662.91295779,9732.12519243,23419.6665047,9306.11382656,6588.09163819,9832.10642961,18618.1513264,0.0
MT,21537.986322,11541.9518757,11196.6270905,11801.4034682,14729.2651763,28152.4886322,30767.5813506,23638.3983046,34910.2943857,26878.1068704,8654.28053335,5771.31228367,3103.45198322,2576.01610944,13396.4348331,22231.3436323,13666.1557228,11244.1416317,19006.7393632,7095.98219115,28043.5560913,22202.2876648,24113.4743578,21716.6365885,21179.5462817,11700.5132738,13594.6518856,23577.6164596,24658.4927135,14992.08886,7645.93759002,12362.2059264,17881.7503165,18651.715105,11822.6685082,2545.78431107,13591.0305601,12113.9568977,8994.45464204,11838.8054415,26307.341181,8440.69310628,6025.80060032,12799.4618815,25277.6586942,0.0
EM,19138.0384722,12211.4290142,10287.6620548,10049.1271108,12825.5709263,23376.0000872,24526.7199555,20512.9373478,30385.5647637,23638.9347697,10794.4733003,17597.588915,2703.36100181,4259.31981882,13646.0556772,28450.6738799,14329.0205494,11334.4248987,19302.4664428,7734.36385579,33108.0551126,24060.4063771,24269.2358401,21836.6080592,22308.3694711,14387.3135442,16748.6845746,26583.9124313,26836.8772202,16366.7536891,8747.09308697,14777.9148999,17504.964728,19245.5396787,14734.6519862,3586.7010134,14486.8557,13111.3839336,9920.5071493,15525.3135908,38988.415471,9354.0388387,7134.78522987,15688.0875742,31752.212039,0.0
AS,995.11519956,1869.99414941,335.545678425,234.91034949,213.000114912,881.488492972,989.320857975,1137.1255971,4212.73694662,6813.73637552,11225.0861923,11761.8043394,15158.8704568,18289.5117032,630.853053087,9755.88480638,1942.37430632,2415.10314274,4013.66405787,2517.81986339,1014.99531437,5440.62949023,5720.95769909,2782.90007628,448.332247615,242.604027361,312.960160777,704.692562434,529.165991065,670.115784025,177.883529476,652.927223196,1846.83842858,2910.26459825,2644.62951648,777.821562305,1255.28165572,974.160209813,256.107997266,272.285636027,529.267510179,862.249420488,470.958531705,759.883951975,1562.37627369,0.0
BK,4701.63342546,6005.8242979,1026.16370818,872.696763153,771.362791366,3360.70733603,2546.74859728,3676.25271033,7877.22764173,10772.1548466,18458.9792351,28561.8079557,23609.556812,33907.7705836,8715.37361982,1695.37381596,5451.13307874,17533.1547847,20664.0209134,10203.5094872,2357.07002486,11635.1130514,12122.887593,9659.18115992,1814.32468028,1741.60586298,2323.63205197,4012.68224266,3372.34629558,2907.05363458,864.857957146,2448.50161818,5584.18365578,7841.01495339,5246.28719724,3085.60774367,4478.3191655,3399.57900879,1225.56851268,1564.59154854,3524.4791762,3285.3496835,1930.16247783,3378.34473387,9354.20427749,0.0
NB,905.148422935,2660.10453505,220.483647855,268.111475824,198.814946952,896.213544731,748.211993918,1092.46291024,3276.83510208,4794.58666924,10499.7302887,11039.1235391,13787.294037,17213.8494507,1839.90892845,5911.31509852,544.420844602,1724.12586555,2439.77413048,1761.71929032,433.983791495,4636.83956433,5249.95051314,2283.57061825,619.027207346,227.619770771,249.037850555,741.899514101,414.298605704,479.464104431,121.98351957,435.621102658,1583.44763589,1889.53371621,2243.66958156,1007.09082291,830.909626834,597.373614372,183.290281039,215.310200898,474.960341565,607.611681873,294.29407709,369.455410265,1111.07340882,0.0
EP,700.526598116,1870.94743628,280.448514072,274.542920047,185.299092593,960.665948468,646.752672194,820.198786987,1920.17796567,2864.0636012,7878.49790435,10307.4534835,11918.099899,13943.8916387,2306.6197465,17710.8718907,1740.53245862,435.80364944,2804.00494715,2643.26428571,410.911749235,5949.64993858,5498.989652,2739.94240988,994.560966646,272.061202413,311.498447205,669.586939681,425.016241196,437.392831387,93.5199485869,378.967915342,1699.30886604,1723.35161471,2341.24555509,726.68499262,774.435871794,472.491716445,146.571440459,225.410952282,440.384252628,567.827915144,226.65141708,415.884792515,1184.19862948,0.0
EN,1328.22722468,2806.59916986,1011.73480836,729.094664032,662.441097308,2541.92850407,1953.36412821,1580.91456061,4584.18339128,4970.28409462,12603.8992105,21318.6275179,19590.1159396,22884.9435867,3693.39490327,21650.4078115,2249.62299226,2604.55377822,650.433818241,2989.23440815,1100.9006444,10630.2719699,7973.03356761,5894.64679981,1013.87095654,334.511535756,322.132394722,906.167949023,450.991984903,945.24068323,186.119588992,1120.84523166,2424.92401755,3577.47646339,5624.22875519,844.340910577,1661.5914153,1255.25436417,267.47160292,363.374350402,691.659408898,1676.59759032,741.564015275,890.803028817,2139.55014265,0.0
RM,638.921559333,1428.55088512,612.290070532,331.667187732,376.304351789,1511.15959216,1400.64805294,1008.50729195,4090.40271826,3935.57385014,6278.94797716,10092.1693958,8472.89886426,9617.16411533,2650.93846969,10970.4747501,1877.54912826,2929.65006043,3318.77286893,347.221541007,630.33199996,3922.66704558,3069.71839926,3758.30941286,600.864261444,203.168586981,219.279961267,613.803722746,294.856085372,708.467824205,144.340835785,1048.81232726,1092.38002021,2551.68414762,2558.23115744,268.995668519,1001.53239373,704.144817578,132.164931102,159.937031313,363.428527841,848.766043567,497.66898521,484.200532458,903.55136854,0.0
OW,857.062883493,3041.65483917,690.646404549,362.694791821,323.491911597,1503.19944872,1910.8434426,1790.8634744,7610.95598879,11154.761401,21481.1604575,32086.4618067,31989.2637973,40710.4631356,1064.41648538,2622.97838569,506.74731047,447.308563405,1144.6864201,675.059638226,752.69026717,2747.08568902,2063.56632342,1703.92754465,757.23008658,118.19339604,190.325466829,499.496692324,324.433375435,432.349391265,161.705743113,1065.64862651,1199.99928378,3093.49448473,3091.10017286,214.912470405,1137.14846355,1039.56616492,333.09365261,291.545051364,687.487210615,744.202636037,367.68331996,286.109759081,649.08635274,0.0
12,2608.00830188,3009.14522621,1513.02910587,1341.19728521,1921.84517767,3324.20174646,2829.83773762,3263.16631302,6487.16912241,7710.43958909,15921.7850253,21240.5181189,22564.8914678,30161.6900413,5580.17786958,13232.8293094,4490.54080062,6123.93626358,10449.2117755,3690.46756565,2895.14684339,1032.12186147,1132.42292688,5210.8231468,3985.39488444,2185.59641,2581.08428581,5091.12870516,5534.62586407,5620.66338574,2356.28579354,5597.33610707,1016.36576718,5196.16454228,7880.57758675,1263.09461797,6208.91119746,6038.09929121,1634.34931053,1694.01029847,3246.05202978,4820.86434119,2574.78699912,3478.59244108,6153.41693611,0.0
19,2320.85039971,2365.23506494,1090.33767819,1105.71393305,1124.07964377,2808.61165463,2366.36709313,3378.52070195,8637.75871398,11482.7236386,19043.6147201,20770.1960851,25332.59493,31441.0200481,5665.35147156,12853.5461143,5050.43538986,5453.81797775,7885.05828058,2793.52979633,1926.88223474,1049.6196415,990.88271172,4293.53052047,4375.48067897,1852.23438141,2661.00638404,5126.5714885,5221.73688173,4836.09041081,2178.34459518,4084.21296076,948.367951499,4485.29822778,5217.77403737,885.745505562,4281.14914212,3642.21517331,1203.63429423,1440.29984497,3071.88353195,3536.35899333,2457.32940553,3217.08902543,5883.67692502,0.0
MA,1361.99537084,3204.74405777,709.220468662,575.225872488,488.752731631,1779.2109503,1572.235744,1998.45422004,7187.78804373,10615.7445461,18512.204333,20051.903903,23201.0550249,26850.2374008,2629.09940167,10047.9029169,2268.58197965,3059.10837073,5865.34729412,3246.01090869,1556.15136904,4773.1566,4119.06639969,795.529813169,1781.17720091,955.128760141,1161.15414475,2886.89117012,2850.61041685,2986.29550556,1003.32327756,4992.54474724,1833.49022606,4336.5806225,5106.34105917,816.807702557,2622.93993581,2241.0165785,540.193841323,556.782250587,1232.73142986,2149.92178668,1066.16666072,1383.1309083,2791.89498549,0.0
RR,876.330600711,3942.30277571,364.152970866,233.62522066,159.843395544,966.077116209,850.633827157,1367.83900165,3885.44094079,6092.86735217,13837.7939191,15781.1436353,20364.4727555,25972.1707262,430.762070691,1539.8103906,580.766899957,921.886116972,955.951389343,493.149046529,732.116988122,3500.13930627,3961.46958949,1841.15007033,723.449419993,1717.83103064,2073.1901374,3777.94411969,2755.00712701,2165.20918155,557.872709937,1612.15698981,786.897413494,1424.00260186,2040.3110875,569.121946665,740.767425976,361.27499579,172.000740488,141.131142084,308.874636691,440.320677187,212.473642109,288.2248363,794.300251122,0.0
OR,303.915667628,2132.98820718,159.906694602,152.033350174,104.637387936,461.432431375,258.860231607,435.967218441,913.525857628,1409.80377971,5110.17354008,6863.08830178,11025.2286655,16817.6143214,199.141661466,1726.4093668,229.365113872,264.936349272,307.289270607,223.472500916,123.325093366,2003.78618384,1894.51001367,826.775727857,1749.76424163,323.739186405,470.798157449,1031.82487989,680.84280464,988.837972401,119.785348252,578.415724093,282.204751008,529.289387996,1430.69698753,299.511175666,217.596129157,86.7659350947,62.3961078586,48.3994665518,70.222631678,120.330020209,61.1163818638,103.871725757,307.372408789,0.0
LF,378.04208347,2597.19791178,190.654483046,151.11542344,122.448092068,443.02163363,304.523170575,462.735573618,1021.9429146,1666.39807176,6435.06138172,7920.33471475,12809.3678113,19468.25987,298.277191992,2319.39772455,273.087310173,320.456810009,361.780749799,156.110585258,167.082774624,2508.95232845,2621.67006053,1194.38411196,2181.04359614,545.790844701,440.915742419,1777.277614,1264.64328658,2314.64128998,281.461501085,977.665066322,255.901375474,495.203343339,1734.16342189,529.123720368,178.455635631,138.133886594,33.745602643,38.6759992868,70.5099799895,153.416043567,50.2407808058,80.0811787374,346.377243999,0.0
WC,755.858633243,4884.308237,494.492993353,434.861462946,421.906443976,1427.6077293,773.561698218,1127.1462614,2003.87725391,2961.34353274,10204.2734995,14418.4683963,22661.1721265,32537.1236698,657.835100102,3867.58586981,706.896608616,645.843295987,899.914022705,514.508595104,440.729671015,4715.92855657,4929.89772554,2772.26927546,3640.71605001,1071.30515815,1769.28463847,713.462604139,3298.31281762,6969.76031829,1202.66990698,5428.83788275,647.549957899,1089.440127,2695.40811664,1010.74350798,545.768159034,356.112788889,123.761615997,83.0724355355,206.570903048,462.36950479,280.996385727,288.190692641,739.18817003,0.0
PH,611.899269914,4139.7246461,558.69569378,458.29394088,327.532221859,1409.6835478,746.818909428,989.466244168,1683.20416357,2830.08589062,9574.32084757,13571.2579324,25547.2684463,33796.7722027,529.840971995,3485.4053008,425.136320049,403.094429255,458.467943079,271.469583544,304.979384231,5648.78269587,5420.14640207,2789.29743083,2689.60316255,712.816291222,1452.0627453,3465.79376653,687.132950954,2706.743189,664.085885167,3143.9607814,547.465920235,697.494389135,2463.58767868,1078.60703637,495.31124501,286.299547287,83.1075098814,80.7426907189,200.501998574,452.978665537,158.758632253,274.941911597,780.062052364,0.0
CN,615.007448958,2963.23242345,521.758593618,478.270250726,471.854431038,1662.86003794,932.686847554,971.004645507,1773.07528505,2445.73553003,8126.58922355,11694.2605976,15980.4797963,20369.1240933,653.143175627,2883.88991451,456.854636591,400.088069482,975.583820718,635.510423291,391.540451425,5502.89397159,4873.02471792,2891.11009193,2082.10245723,1016.11382656,2793.32387391,7897.6068952,2621.65735089,716.977170198,1205.36957859,8025.82639851,684.774785283,1222.91682863,2354.98928745,687.797133644,708.942534696,558.0414044,152.35267368,144.538162105,298.902815834,586.123074485,297.048425907,320.462192537,871.952778686,0.0
NC,251.154869387,1471.20989628,262.868806899,204.916636453,176.524503948,920.529754227,423.259302406,322.70848366,901.68706549,1239.31773257,4420.3364523,6127.58299207,8296.13866534,10836.7029595,171.781276313,855.643004745,133.391812535,99.5982139142,152.341261256,137.804439458,131.459944327,2492.47529248,2252.56442143,963.621745569,513.929408501,123.308683269,270.36890497,1225.530095,727.610248943,1288.30398724,286.896082102,1286.7652164,256.901255609,275.607126017,1207.5165047,274.271246793,207.194962208,136.874953689,42.6841713969,23.3509926001,51.1656928883,185.584875232,59.1168682576,90.521575183,240.215645339,0.0
WP,723.177171189,3813.11196469,976.799764728,761.408194894,699.504844126,2148.16773505,1334.42336969,1182.84216123,2924.28887981,3088.51769245,9072.33002764,13784.7696608,14261.4737397,18101.8994765,647.430601207,2461.63348044,402.556371165,357.386904019,943.144294035,932.591001218,964.351251647,5561.01515449,3953.42070096,4413.4029882,1371.05493526,484.213394653,1034.90387084,5424.84626636,2981.34872507,8024.45921474,1137.17704835,999.308683269,946.173860541,1583.95536915,3529.12184265,620.289249804,974.394219244,633.830821124,122.145772534,152.114076198,313.074160698,1044.39083034,433.453839639,506.392674869,1092.66530952,0.0
LM,591.22623654,1083.53435169,460.459983457,250.747153457,274.208894271,2111.51090127,1639.91519064,1468.59422865,4520.87099121,6703.68503967,12786.864308,18177.4423742,19452.7241706,21434.3792663,1792.87438606,5625.70815329,1509.74107106,1654.58769651,2399.74939671,1044.32291103,989.583134219,980.586942158,952.509573836,1810.13038624,787.803846078,221.567309578,251.378551616,586.121649479,453.062655156,655.008918541,241.3949419,837.545603634,581.374706529,4433.78526801,6309.50106937,537.873901156,6486.14718268,5557.34215331,2702.06943891,1916.91552746,3779.75992006,2985.43511447,1698.24295175,2206.58927011,3643.52901671,0.0
FV,700.293810118,1668.89512417,656.2734108,426.636966428,268.030279751,2395.3539387,1994.86755129,1704.57355048,6407.58787483,7957.18772772,17428.8685924,22715.5840694,20428.805916,23319.4368783,2855.20442807,7923.4663254,1897.39798706,1677.34373582,3601.57842383,2607.59736594,3060.04373929,4757.03790603,4102.07931935,4396.7542765,1414.87785818,454.356752553,464.687850555,1026.43310747,643.949991084,1180.99488494,275.36398209,1607.07690768,4998.93522938,861.94995146,8516.2080463,308.141866029,5794.73634828,6693.05299613,1598.37896619,1870.94335097,3199.86777666,4904.44317018,2232.70429483,1952.75396148,4136.3358292,0.0
CL,1014.58387669,1177.87313937,998.303695008,637.448188653,461.730156419,3863.02443064,1903.31334809,2142.68384152,4029.65510119,4505.72554707,9777.2480678,16249.045991,12257.1465611,16583.4711368,2479.85247258,5302.11377307,2124.07555846,2293.6106338,5118.09099726,2412.7691338,3061.16425401,7291.36935075,4781.48939741,4929.0652907,1934.06820757,1335.52487543,1605.72041368,2611.57583583,2236.06130098,2208.13975502,1129.30962584,3495.50506206,7375.35995027,8483.79779488,760.629530843,1845.51660574,7837.11234014,7992.91634917,3529.06430553,4743.66079428,12116.6283158,5944.4805487,3283.64002348,4342.86684894,10465.2754445,0.0
OA,240.684800935,706.112491208,109.130047451,85.4615838014,78.7212537272,478.622148256,269.373096774,512.356109642,855.319289825,787.842854666,1960.59629954,4048.68944099,2686.37042012,4275.2217,1070.37833616,3955.66560225,1344.07000951,985.598955888,1193.26408759,370.430384756,315.916412078,1418.40472971,1063.24623416,1235.80817508,882.581778062,496.576574836,788.27253113,1486.66683804,1487.16734029,922.877095902,385.934978751,980.243626854,943.557168118,500.403591489,1755.73731265,304.076167692,363.696182155,257.760850743,332.333989123,1072.64296809,2439.10549893,501.976919572,249.146832496,574.943211784,1190.88504413,0.0
SL,303.121603416,1002.50693582,388.912587794,335.233841521,254.138203711,1782.7401483,1286.09657593,903.862166781,2517.22248606,3314.10563018,8771.26503215,14748.73875,14575.3873448,17907.0732166,1185.89624506,4410.85069294,772.258475735,729.930887495,1588.03590746,912.661370818,1084.17350194,5703.82392394,3802.62188822,2490.24723617,686.624075505,184.549899452,170.005277522,569.359197896,464.142355394,695.771246793,197.639768393,988.442369758,6683.84007796,5722.33722795,7823.24033849,217.609604545,458.449675077,3582.61560522,1199.98100686,1418.21298305,1905.34453921,3859.23902791,1553.82161431,1692.5184795,3094.60786205,0.0
BF,239.358578264,752.080888981,441.721931806,264.604257184,236.489329054,1404.97209476,1029.22142015,712.132664666,1943.3000842,2506.6816478,7773.51082003,13049.063672,13315.4313501,16242.2130767,975.860611509,3466.86913975,563.30711512,491.813774555,1305.13095882,738.783081716,1060.00983585,5904.28267358,3327.75604822,2150.82088769,380.607674324,106.092973541,116.525483174,376.042207792,241.749047025,544.996710155,143.540791703,755.85984477,5817.98412137,6714.59552835,8134.27501412,168.584451247,3458.28504066,492.346001367,2103.09079319,3542.3555118,4673.76675186,4346.14601969,2169.0498311,2876.20500312,5987.89197549,0.0
CV,110.275978484,516.35151218,123.140699575,85.5852145185,63.8779096952,654.633819727,415.988645032,352.659892815,794.604445402,1405.22753871,4820.75672333,7308.30764708,9444.16314304,12336.5946086,229.969448324,1253.29521333,188.412470901,140.65937175,249.300153051,123.084993115,336.892388085,1706.51271608,1179.36612975,530.517158014,160.171442935,53.4655759953,40.2384285813,131.696885494,86.062068214,166.685727659,44.8735371036,151.810518886,2765.25313184,1673.83461618,3603.98557213,208.348221344,1172.89620593,1891.40437854,281.445299514,2962.58134516,2691.97384073,698.957023488,407.293431206,491.843117676,994.544006756,0.0
WD,145.222793644,961.904744569,121.257752088,134.110104312,83.9646056842,905.557301851,396.284321476,430.649771167,828.558888328,1362.49166444,5104.49274025,8231.19640802,11064.0363413,17321.9669104,234.549777606,1440.78834537,200.093816062,217.186096169,297.312899343,132.764355553,279.88051007,1673.8925451,1368.95817261,478.23972233,124.364795388,43.7105312689,41.9337677197,87.5273217629,72.7692333601,144.454963,24.6922211656,175.738456319,1724.35473318,1772.51333621,4616.49391017,692.633138677,1401.94905693,3230.45569556,2659.57989787,495.233222384,1330.79709848,1228.57503591,589.872262672,620.354029342,1114.01306874,0.0
ED,460.682918264,3230.40194211,311.993360873,470.708655532,344.674336533,2137.04007004,1267.34556351,1267.2042765,2269.73480886,3470.81132575,12988.6342293,21310.553276,26389.2405871,46121.7352284,509.368506741,3376.85290747,465.488332491,432.718631559,628.06394197,335.76993026,651.809367292,3338.11487513,3076.33060467,1179.42503393,287.675816022,67.9720833705,66.4804352779,191.135517153,196.40443401,302.672690125,50.0242607507,330.498504661,4038.20933559,3028.39676167,12685.0736644,1635.52116209,1933.06977176,4201.19258324,2624.10311054,1225.02697604,1256.52605625,1642.50845889,892.32305913,1295.407497,2922.9495988,0.0
HY,185.772996226,562.810346518,323.021418665,159.906458835,151.637908011,1025.43987488,678.163702735,474.297101945,1339.98900809,1838.06066104,5180.92773138,7927.68437943,9238.59009728,11622.0513299,832.837272529,3360.84984447,604.051782619,554.486307666,1555.52218045,751.633629528,682.40855647,4909.54084272,3349.22806671,2100.1281841,425.819495379,145.637292342,146.500833606,431.811370323,470.743170178,583.485878233,186.56704756,1034.63838202,3131.19542086,4965.32734455,5873.27334839,302.390054682,3973.67179064,4231.91514309,707.735275937,1283.57970915,1560.9832521,554.687349797,2403.19038951,4070.4987013,7600.36086461,0.0
SH,146.621248774,318.329368877,184.996249517,115.383964358,116.082221859,839.671301277,460.76540016,284.613889467,1077.37391899,1338.84863146,3678.97677593,5620.4062721,6633.21574242,8802.90714484,482.903664299,1932.31780786,258.468389353,257.237699981,681.76366311,527.08775397,341.564104431,2710.03016732,2430.71004933,1118.66430949,214.862984041,58.5922157172,48.4771508812,289.692607012,155.903093703,289.377638266,70.099854379,472.34997573,1764.66675285,2253.18645378,3408.57639801,164.788033324,1627.24935065,2083.07761647,439.936002556,566.978619474,881.901830168,2584.90526762,304.799995047,1656.4497043,3892.49394534,0.0
UC,124.85522601,553.515230765,150.611695246,147.905149732,117.421691085,1032.86419458,486.023056653,317.814666607,821.198443242,1387.1462832,5297.98963862,8187.4068952,13504.6635205,18331.6242424,690.882283773,3389.14038902,410.047263911,381.196674493,848.987831238,417.352790078,267.436196717,3524.2294823,3101.92026757,1366.16491278,294.644088482,100.005785214,81.0582870219,258.590554449,283.395851288,328.401827692,93.9560031502,491.819063964,2276.18498717,1862.64464372,4533.56532438,408.566053969,1665.9886376,2814.38767918,443.646156894,703.663884018,1267.84943733,4070.80672927,1642.75601553,592.606962069,4464.77911528,0.0
FM,181.369995146,1081.73866683,331.912297542,196.04595035,161.742007687,1660.15792049,819.37954174,765.511457002,1634.79113198,2961.24425837,9978.2725341,15961.2113287,26310.3563999,36975.4057679,1471.66469286,9089.29242523,1132.67582246,1210.65859362,2006.15050224,828.394265803,536.191521293,6189.17193924,5782.95130811,2689.6293139,807.460483719,303.813303516,329.052276937,760.077840847,733.037938225,904.633569101,252.37860511,1063.39175855,3748.32496954,3986.00560294,10826.872806,819.112712612,2999.39435694,6292.99138013,960.410408432,1119.63390343,3038.31783163,7706.04236877,3766.63014948,4260.8195038,1493.11832546,0.0
