start,MB,SO,SB,SS,CM,DC,BP,GP,24,16,CC,PL,MT,EM,AS,BK,NB,EP,EN,RM,OW,12,19,MA,RR,OR,LF,WC,PH,CN,NC,WP,LM,FV,CL,OA,SL,BF,CV,WD,ED,HY,SH,UC,FM,WS
MB,1354.52338802,9262.39907179,1334.30583227,1221.08942861,2077.90835587,6064.43200937,3500.72731334,3077.4849842,6716.45513091,7698.4828831,15603.2332145,21958.5998955,24205.4108626,21889.4550839,964.083308568,4610.08785155,908.825607002,702.544334651,1311.06109988,573.002216014,748.575065133,2850.99660119,2432.21823581,1368.09211269,963.362757685,326.104504839,368.691939335,785.483354136,637.27714147,670.220718298,241.589626735,757.536496379,545.58357554,697.726616442,1131.41563296,151.240179995,302.553015939,252.559760567,131.152304179,162.600813298,471.66336642,203.954355751,151.946282207,148.334366549,202.302533508,0.0
SO,11948.5453916,2101.69271846,2164.35855548,1545.85783827,3990.00290846,7061.84772059,3568.81797676,3509.8545722,6300.6081206,7269.33433832,16456.5991704,45947.0504651,13250.1016895,15036.9053038,2309.26408561,7295.40155824,3149.92863186,2227.81799261,3333.11129256,1457.30486245,2927.2487543,3850.0965472,3081.01738288,3936.92601662,4840.53520758,2377.92066282,3056.75869714,5755.55356127,4993.69883553,3353.48721854,1669.05907506,4383.06254569,1239.29573737,2183.10068551,1337.1567263,829.986045648,1411.70916966,871.793507484,680.421919423,1451.2164839,4142.70619087,688.322813457,483.992910141,761.328801747,1638.26096714,0.0
SB,1134.54291113,1595.26718526,566.796037029,1046.90243791,1669.63052592,4128.81328271,3427.62150634,2108.53720517,4250.20367321,3601.55807602,7862.46988766,11250.3716237,12290.6621747,10634.4321619,316.589604446,1041.16432088,227.351600345,308.477050829,989.122331521,546.975751632,629.108817003,1529.76834081,1049.25735188,712.895693285,355.110459449,147.806558887,201.406610895,513.692313293,540.088424619,545.214429849,253.411850773,1067.7014889,374.637067966,645.408683269,934.931775585,71.1142193428,377.115132693,419.240305309,144.575902701,130.057114625,294.813623486,334.217601316,181.214509594,143.032270895,308.25950796,0.0
SS,1270.70276482,1213.33653402,1057.60562622,449.701805403,493.012861204,1764.56691135,1575.07431821,1102.40155775,2791.29144502,3156.19085213,7418.67666795,11368.2209496,13488.0085119,10772.6080993,244.325936382,871.414293639,252.331841461,267.167164948,761.914309984,339.232841986,322.776715009,1421.28120994,1136.75903345,572.792604535,282.466842997,176.263275778,164.874088383,409.748820668,627.82068214,486.621741112,215.509664973,869.049967805,233.201125838,421.745653165,730.947146522,63.8416971282,352.221480084,292.02386797,99.5975581246,146.47358713,425.086755426,180.988628686,137.782755803,140.449364023,188.937929805,0.0
CM,2055.30264644,3370.77536826,1678.34029887,414.925990371,376.561424312,1149.98311738,2110.40129672,1337.08560036,3523.65992451,3822.23165473,9507.64074712,14449.2556594,17040.3335701,13526.602271,242.4902429,788.629265357,192.981130197,180.232044043,732.334822729,396.751380427,308.343955244,2033.2687856,1140.52967201,508.055121499,159.538358743,94.1857440043,109.07599582,421.370196242,308.547447175,477.021687618,166.911920116,792.540614877,263.77279513,297.374993313,538.03244772,47.5985660792,260.771472159,267.531814715,72.5323848158,85.0674527227,349.050403677,169.463061309,161.391074029,137.58993878,230.93716158,0.0
DC,6266.6565782,5879.79380566,4473.09656899,1908.80199907,1070.94374474,896.458501491,2385.48350075,1801.71550318,8227.03690996,9328.26726946,17982.2483491,39689.998735,32858.5300029,25712.5673383,863.219799499,3524.71621594,903.061261355,987.483289251,2537.47177232,1437.15894529,1230.63906604,3471.93522542,2884.42660455,1764.53730968,998.177611024,445.179545702,436.982189169,1433.30154487,1408.86163531,1708.14151188,887.106571765,2223.5915099,2134.56798716,2444.55590112,3902.96725014,347.400942079,1798.23219957,1409.59721339,672.740793684,970.577792802,2153.50678871,1030.367529,826.555448899,1075.5824502,1697.84060299,0.0
BP,3922.09634511,2873.34729809,3886.53702735,1685.83383261,2112.04748531,2766.4033364,1633.47784778,2555.64975928,14985.5287349,16561.6877579,27592.8546024,57371.3242058,49857.3970128,28549.8849981,994.727671451,2832.98467265,764.822615333,744.98764203,2308.38704865,1564.00903791,1805.86090077,3357.00908001,2588.91018851,1783.37091097,939.803884712,284.717413098,329.210841828,868.904927338,857.459618414,1081.99838876,445.382076238,1674.4662407,1893.5949523,2231.21840471,2124.99202403,212.66691234,1482.76714811,1214.11692819,404.657170099,448.075320218,1387.87960514,807.980891458,535.284473536,538.222861502,940.621005577,0.0
GP,3108.10124719,2526.29750017,2137.12343656,1119.93214905,1352.5983313,1808.04245148,2458.01450613,934.020732662,8002.9296408,9845.29545999,17037.7634714,35237.1903811,30298.8497811,23393.1894722,1102.60451673,3837.41508812,1128.65772386,874.537472634,1781.66699654,1043.00441717,1627.67217253,3537.27277482,3646.01089086,2001.22848723,1508.67614045,506.666954441,533.800475497,1247.81752801,1419.09338564,1086.35635333,370.686974848,1462.4078041,1739.46295482,1790.07689926,2337.12693394,389.841842749,979.048478409,827.597973194,381.27911726,502.335166473,1294.62263019,573.318598373,324.626113208,340.293979514,834.956424658,0.0
24,5946.22873785,4596.48229368,4373.75428344,2700.52183027,3481.16228863,8379.97695523,13982.8844849,8119.17879977,1872.26295729,7629.94637929,26361.2937472,53778.64044,41013.7628409,34603.0060497,4135.11033265,8051.99624258,3272.14987617,1955.23135804,5046.5375603,4474.97021605,6830.50314967,6985.16029055,8629.92852982,7087.20610667,4035.35717406,960.500176825,981.606737199,2112.673126,1710.65071027,1990.42101647,907.122140331,3341.29675969,5010.61923039,6572.97688193,4083.08989173,628.36574341,2586.68528584,2053.4649628,845.708688223,870.163556124,2186.46375425,1383.99836251,1094.94235589,848.576888367,1658.48648102,0.0
16,6820.07906971,5499.44417813,3599.52817221,3049.06123263,3608.53699615,9344.35038882,15171.9994621,9592.03806998,7528.42135576,1628.81243821,18331.3366098,44039.1624863,27205.2731037,23950.734424,6813.57973491,11198.7138528,4848.69010124,3168.24328459,5623.48562711,4341.51367302,10694.1140613,8299.49951113,11612.7850595,10753.3899086,6642.58980356,1438.21176608,1771.70658167,3249.52859025,3086.087328,2780.41456705,1371.71671669,3595.15620524,7431.87154002,8312.93782034,4478.91098695,644.408874954,3456.02610231,2741.73382963,1499.06670481,1551.15364251,3589.95204018,1889.49491515,1410.60519778,1511.36635759,3026.50038783,0.0
