start,Millbrae-Daly City,San Francisco,Berkeley,Oakland,Walnut Creek-Pittsburg/Bay Point,Fruitvale-Dublin/Pleasanton,Fremont
Millbrae-Daly City,97378.6981699,548536.43499,48085.710084,53421.8429711,40688.9062744,36677.5443911,12511.6558321
San Francisco,520333.760734,1427550.054,446594.149796,627748.830463,385270.258224,462676.009392,194715.43583
Berkeley,44986.6565371,437977.828487,192249.846964,132339.338325,44790.0985029,81081.0903596,37505.8419511
Oakland,50848.4968095,629916.081084,135472.207319,95039.4121869,89052.3190992,100310.722994,46803.5266576
Walnut Creek-Pittsburg/Bay Point,38055.006011,384307.273048,44338.8247363,88118.4123021,85782.3914231,60745.1948186,21825.9676605
Fruitvale-Dublin/Pleasanton,34257.8569847,463034.29151,81397.1861592,97071.0628396,63144.1716075,199846.221744,84760.0457038
Fremont,11050.000579,197603.863665,36439.9156106,46203.3073493,22076.2343392,83926.9770094,54754.4339043
