start,Millbrae-Daly City,San Francisco,Berkeley,Oakland,Walnut Creek-Pittsburg/Bay Point,Fruitvale-Dublin/Pleasanton,Fremont
Millbrae-Daly City,99060.2685236,552727.609858,48794.4858738,56442.8294638,42221.6251956,37026.9918964,12201.1623984
San Francisco,525214.388931,1376776.16788,451996.195493,653984.848052,403351.183162,472417.365569,197663.255248
Berkeley,45945.1170692,445560.4617,191847.944353,134670.432316,43990.3356877,79771.3853118,36014.7659755
Oakland,53557.2711893,659386.220403,137105.243529,96357.9229855,91757.0290347,99390.7565922,46898.9408445
Walnut Creek-Pittsburg/Bay Point,39332.5059011,404406.047365,43270.2479646,90385.3865573,85856.4534632,60353.2132452,21114.6150224
Fruitvale-Dublin/Pleasanton,34369.3094099,474664.82769,80757.0176008,96716.9367775,63650.3957887,200113.118907,83844.3124516
Fremont,10890.1436888,201775.5581,35103.7468558,46285.8881066,21439.5608111,83628.6803638,55529.0021227
